;wine type;fixed acidity;volatile acidity;citric acid;residual sugar;magnesium;flavanoids;minerals;calcium;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
3638;Pinot noir;7.0;0.31;0.26;7.4;91.52971282243503;909.97;443.45971282243505;351.93;0.069;28.0;160.0;0.9954;3.13;0.46;9.8;6
3639;Merlot;7.0;0.16;0.32;8.3;30.854214391979696;659.43;108.7942143919797;77.94;0.045;38.0;126.0;0.9958;3.21;0.34;9.2;5
3640;Pinot noir;7.4;0.25;0.36;13.2;94.92335198113743;964.54;277.79335198113745;182.87;0.067;53.0;178.0;0.9976;3.01;0.48;9.0;6
3641;Merlot;8.9;0.27;0.34;10.7;88.64486232307969;1104.44;465.10486232307966;376.46;0.029;19.5;166.0;0.99669;3.13;0.48;10.6;5
3642;Pinot noir;7.7;0.35;0.46;11.8;83.08667602286302;964.34;206.05667602286303;122.97;0.088;61.0;183.0;0.99786;2.86;0.47;9.0;5
3643;Cabernet Sauvignon;6.2;0.22;0.3;12.4;29.804378048938652;616.74;393.5243780489387;363.72;0.054;108.0;152.0;0.99728;3.1;0.47;9.5;6
3644;Pinot noir;7.9;0.2;0.34;1.2;6.571882195613155;826.93;160.08188219561313;153.51;0.04;29.0;118.0;0.9932;3.14;0.41;10.6;6
3645;Merlot;7.0;0.32;0.35;1.5;77.89782503560158;1405.15;353.35782503560154;275.46;0.039;24.0;125.0;0.9918;3.17;0.64;12.2;6
3646;Chardonnay;6.9;0.24;0.34;4.7;34.59399291534413;336.01;209.35399291534412;174.76;0.04;43.0;161.0;0.9935;3.2;0.59;10.6;6
3647;Chardonnay;7.5;0.26;0.25;1.7;69.3889284041382;709.1;336.8889284041382;267.5;0.038;29.0;129.0;0.99312;3.45;0.56;10.4;6
3648;Pinot noir;6.8;0.26;0.42;1.7;97.84659722041728;826.18;251.6165972204173;153.77;0.049;41.0;122.0;0.993;3.47;0.48;10.5;8
3649;Merlot;7.1;0.42;0.2;2.8;21.226045858052135;780.03;186.54604585805214;165.32;0.038;28.0;109.0;0.98968;3.23;0.47;13.4;6
3650;Pinot noir;6.7;0.16;0.32;12.5;51.99950484972824;975.16;414.17950484972823;362.18;0.035;18.0;156.0;0.99666;2.88;0.36;9.0;6
3651;Merlot;8.0;0.25;0.13;17.2;10.283611202041365;532.01;321.90361120204136;311.62;0.036;49.0;219.0;0.9996;2.96;0.46;9.7;5
3652;Cabernet Sauvignon;8.0;0.27;0.33;1.2;57.974012893499236;1146.3;283.32401289349923;225.35;0.05;41.0;103.0;0.99002;3.0;0.45;12.4;6
3653;Cabernet Sauvignon;7.0;0.3;0.32;6.4;27.9308738980528;786.16;312.10087389805284;284.17;0.034;28.0;97.0;0.9924;3.23;0.44;11.8;6
3654;Cabernet Sauvignon;7.1;0.29;0.34;7.8;87.77401851692804;525.74;324.34401851692803;236.57;0.036;49.0;128.0;0.99397;3.21;0.4;10.7;6
3655;Merlot;7.9;0.345;0.51;15.3;99.84349048275266;879.67;354.65349048275266;254.81;0.047;54.0;171.0;0.9987;3.09;0.51;9.1;5
3656;Pinot noir;5.0;0.24;0.34;1.1;86.77061496626528;883.43;283.3206149662653;196.55;0.034;49.0;158.0;0.98774;3.32;0.32;13.1;7
3657;Merlot;6.6;0.22;0.29;14.4;42.82667382564228;989.19;248.52667382564226;205.7;0.046;39.0;118.0;0.99834;3.05;0.5;9.1;6
3658;Cabernet Sauvignon;7.6;0.27;0.29;2.5;27.792691377986966;906.84;214.49269137798694;186.7;0.059;37.0;115.0;0.99328;3.09;0.37;9.8;5
3659;Merlot;6.8;0.3;0.27;11.6;91.5121440691425;1325.2;226.2921440691425;134.78;0.028;22.0;97.0;0.99314;2.96;0.38;11.7;6
3660;Chardonnay;5.1;0.25;0.36;1.3;99.68830359724413;1022.95;367.1283035972441;267.44;0.035;40.0;78.0;0.9891;3.23;0.64;12.1;7
3661;Chardonnay;6.1;0.27;0.43;7.5;69.78602754471832;1575.72;355.6660275447183;285.88;0.049;65.0;243.0;0.9957;3.12;0.47;9.0;5
3662;Cabernet Sauvignon;7.5;0.33;0.39;12.4;45.87978110469068;848.74;336.19978110469066;290.32;0.065;29.0;119.0;0.9974;3.16;0.39;9.4;5
3663;Cabernet Sauvignon;6.1;0.26;0.51;2.2;97.62148532600223;1103.64;323.68148532600225;226.06;0.05;61.0;154.0;0.9929;3.08;0.6;9.8;6
3664;Merlot;7.2;0.22;0.35;5.5;99.49693781940144;802.32;384.5169378194014;285.02;0.054;37.0;183.0;0.99474;3.08;0.5;10.3;5
3665;Cabernet Sauvignon;7.3;0.36;0.62;7.1;24.406504744234358;993.18;127.83650474423436;103.43;0.033;48.0;185.0;0.99472;3.14;0.62;10.6;6
3666;Pinot noir;5.3;0.33;0.3;1.2;26.755570644177073;1121.95;256.88557064417705;230.13;0.048;25.0;119.0;0.99045;3.32;0.62;11.3;6
3667;Pinot noir;7.1;0.21;0.3;1.4;1.139456697656327;735.15;233.30945669765632;232.17;0.037;45.0;143.0;0.9932;3.13;0.33;9.9;6
3668;Pinot noir;6.8;0.32;0.18;7.5;53.553365787994046;995.04;432.59336578799406;379.04;0.041;71.0;223.0;0.9959;3.14;0.41;8.9;5
3669;Chardonnay;6.2;0.32;0.5;6.5;49.8888622140728;833.49;325.5188622140728;275.63;0.048;61.0;186.0;0.9948;3.19;0.45;9.6;5
3670;Cabernet Sauvignon;6.7;0.25;0.13;1.2;30.786693706453395;1105.11;224.5766937064534;193.79;0.041;81.0;174.0;0.992;3.14;0.42;9.8;5
3671;Cabernet Sauvignon;7.4;0.56;0.09;1.5;72.19357200621856;1015.32;323.58357200621856;251.39;0.071;19.0;117.0;0.99496;3.22;0.53;9.8;5
3672;Merlot;6.8;0.38;0.29;9.9;9.882587240400852;790.58;206.42258724040084;196.54;0.037;40.0;146.0;0.99326;3.11;0.37;11.5;6
3673;Cabernet Sauvignon;6.6;0.38;0.18;1.2;2.486161011118604;1092.83;181.7761610111186;179.29;0.042;20.0;84.0;0.9927;3.22;0.45;10.1;4
3674;Pinot noir;7.7;0.32;0.48;2.3;32.791067568752965;1348.02;244.26106756875296;211.47;0.04;28.0;114.0;0.9911;3.2;0.52;12.8;7
3675;Cabernet Sauvignon;7.0;0.17;0.37;1.5;16.58029630309763;1097.53;195.02029630309764;178.44;0.028;26.0;75.0;0.9922;3.3;0.46;10.8;7
3676;Chardonnay;7.5;0.28;0.41;1.3;81.73936398510992;905.27;413.8693639851099;332.13;0.044;11.0;126.0;0.99293;3.28;0.45;10.3;5
3677;Pinot noir;6.7;0.34;0.3;8.5;83.10080238520264;1161.37;265.0808023852026;181.98;0.059;24.0;152.0;0.99615;3.46;0.64;11.0;7
3678;Chardonnay;5.6;0.28;0.4;6.1;32.385065057382235;602.13;266.3050650573822;233.92;0.034;36.0;118.0;0.99144;3.21;0.43;12.1;7
3679;Pinot noir;8.5;0.19;0.56;17.3;27.09570809674475;748.07;193.34570809674474;166.25;0.055;47.0;169.0;1.00047;3.07;0.67;9.3;6
3680;Cabernet Sauvignon;7.5;0.19;0.49;1.8;49.496252654655656;570.77;328.00625265465567;278.51;0.055;19.0;110.0;0.9946;3.33;0.44;9.9;5
3681;Chardonnay;7.3;0.32;0.25;7.2;57.941847328956285;1114.46;250.50184732895627;192.56;0.056;47.0;180.0;0.9961;3.08;0.47;8.8;5
3682;Merlot;7.0;0.32;0.31;6.4;22.028282818541655;918.83;289.5582828185416;267.53;0.031;38.0;115.0;0.99235;3.38;0.58;12.2;7
3683;Merlot;6.8;0.22;0.31;6.3;31.50156846729373;1655.39;212.06156846729374;180.56;0.035;33.0;170.0;0.9918;3.24;0.66;12.6;6
3684;Cabernet Sauvignon;7.1;0.26;0.49;2.2;71.55749397642862;1307.04;361.03749397642866;289.48;0.032;31.0;113.0;0.9903;3.37;0.42;12.9;9
3685;Chardonnay;6.8;0.19;0.36;1.9;71.58911524491297;664.2;442.089115244913;370.5;0.035;30.0;96.0;0.9917;3.15;0.54;10.8;7
3686;Merlot;8.8;0.2;0.43;15.0;48.712790464091526;824.08;257.82279046409155;209.11;0.053;60.0;184.0;1.0008;3.28;0.79;8.8;6
3687;Merlot;7.4;0.19;0.3;12.8;78.70463722806124;812.06;284.0546372280612;205.35;0.053;48.5;229.0;0.9986;3.14;0.49;9.1;7
3688;Chardonnay;6.4;0.46;0.22;14.7;12.798920933264357;627.53;186.97892093326436;174.18;0.047;51.0;183.0;0.998275;3.39;0.6;10.5;5
3689;Pinot noir;6.7;0.27;0.69;1.2;2.6466467987494635;1142.84;162.72664679874947;160.08;0.176;36.0;106.0;0.99288;2.96;0.43;9.2;6
3690;Chardonnay;7.7;0.26;0.4;1.1;55.90722674920706;947.97;267.84722674920704;211.94;0.042;9.0;60.0;0.9915;2.89;0.5;10.6;5
3691;Merlot;9.1;0.27;0.45;10.6;7.444017981325802;839.91;237.2140179813258;229.77;0.035;28.0;124.0;0.997;3.2;0.46;10.4;9
3692;Pinot noir;7.1;0.34;0.86;1.4;76.82494292814873;785.72;324.3449429281487;247.52;0.174;36.0;99.0;0.99288;2.92;0.5;9.3;5
3693;Merlot;7.3;0.38;0.23;6.5;92.03351952693586;928.65;371.9635195269359;279.93;0.05;18.0;102.0;0.99304;3.1;0.55;11.2;4
3694;Cabernet Sauvignon;6.0;0.28;0.27;15.5;64.93758080125477;975.21;216.17758080125478;151.24;0.036;31.0;134.0;0.99408;3.19;0.44;13.0;7
3695;Pinot noir;7.6;0.19;0.37;13.1;36.52204810340686;798.64;288.33204810340686;251.81;0.033;52.0;151.0;0.99726;3.18;0.79;10.4;6
3696;Merlot;6.5;0.18;0.41;14.2;23.15040008286372;935.68;350.5204000828637;327.37;0.039;47.0;129.0;0.99678;3.28;0.72;10.3;7
3697;Chardonnay;6.7;0.31;0.31;4.9;41.27679924338265;1441.85;272.82679924338265;231.55;0.031;20.0;151.0;0.9926;3.36;0.82;12.0;7
3698;Pinot noir;8.1;0.25;0.34;10.1;1.4154446702023704;1011.94;16.04544467020237;14.63;0.05;30.0;121.0;0.99724;3.17;0.49;10.1;6
3699;Chardonnay;6.9;0.2;0.4;7.7;98.54217118114275;1149.2;239.39217118114274;140.85;0.032;51.0;176.0;0.9939;3.22;0.27;11.4;5
3700;Chardonnay;9.2;0.25;0.34;1.2;90.71117315655154;666.78;215.25117315655154;124.54;0.026;31.0;93.0;0.9916;2.93;0.37;11.3;7
3701;Cabernet Sauvignon;6.3;0.25;0.44;1.7;63.682695418096294;901.9;329.5926954180963;265.91;0.024;36.0;116.0;0.98935;3.18;0.4;12.5;6
3702;Chardonnay;6.6;0.28;0.23;10.4;28.529225014120698;1047.09;183.1892250141207;154.66;0.049;45.0;190.0;0.99754;3.12;0.51;8.8;5
3703;Cabernet Sauvignon;6.8;0.23;0.42;7.4;29.26743744946497;560.78;241.48743744946498;212.22;0.044;56.0;189.0;0.9958;3.22;0.48;9.3;6
3704;Merlot;7.9;0.21;0.39;2.0;74.30186281817788;708.29;335.3618628181779;261.06;0.057;21.0;138.0;0.99176;3.05;0.52;10.9;5
3705;Pinot noir;6.2;0.53;0.02;0.9;79.06398895112603;1081.47;342.29398895112604;263.23;0.035;6.0;81.0;0.99234;3.24;0.35;9.5;4
3706;Pinot noir;5.9;0.44;0.36;2.5;69.2302934404075;1243.28;275.12029344040747;205.89;0.03;12.0;73.0;0.99201;3.22;0.48;10.8;6
3707;Cabernet Sauvignon;8.1;0.17;0.44;14.1;50.997710878511604;779.69;243.9177108785116;192.92;0.053;43.0;145.0;1.0006;3.28;0.75;8.8;8
3708;Merlot;6.9;0.26;0.31;7.0;67.47560490474098;491.68;473.895604904741;406.42;0.039;37.0;175.0;0.99376;3.32;0.49;11.4;6
3709;Pinot noir;6.8;0.26;0.44;8.2;8.004000405193146;1205.99;81.37400040519316;73.37;0.046;52.0;183.0;0.99584;3.2;0.51;9.4;5
3710;Cabernet Sauvignon;7.4;0.2;0.35;2.1;26.958034555072263;967.66;261.43803455507225;234.48;0.038;30.0;116.0;0.9949;3.49;0.77;10.3;7
3711;Pinot noir;6.5;0.22;0.32;2.2;40.048728530187006;670.2;355.188728530187;315.14;0.028;36.0;92.0;0.99076;3.27;0.59;11.9;7
3712;Chardonnay;6.8;0.24;0.34;4.6;60.62496682342212;1327.54;270.7049668234221;210.08;0.032;37.0;135.0;0.9927;3.2;0.39;10.6;5
3713;Pinot noir;8.0;0.28;0.42;7.1;41.977647216035805;1101.8;190.3276472160358;148.35;0.045;41.0;169.0;0.9959;3.17;0.43;10.6;5
3714;Chardonnay;8.6;0.18;0.4;1.1;22.99506809612637;1329.56;179.00506809612637;156.01;0.04;20.0;107.0;0.9923;2.94;0.32;10.2;7
3715;Chardonnay;6.9;0.18;0.38;8.1;36.980301120358874;169.69;79.86030112035888;42.88;0.049;44.0;176.0;0.9958;3.3;0.54;9.8;6
3716;Chardonnay;7.4;0.38;0.27;7.5;26.29548511519638;1375.85;297.48548511519635;271.19;0.041;24.0;160.0;0.99535;3.17;0.43;10.0;5
3717;Cabernet Sauvignon;6.5;0.22;0.25;17.1;83.31159056052617;1081.64;258.38159056052615;175.07;0.05;44.0;138.0;1.0001;3.3;0.37;8.8;5
3718;Merlot;6.6;0.58;0.3;5.1;19.184049525002067;1140.05;212.31404952500208;193.13;0.057;30.0;123.0;0.9949;3.24;0.38;9.0;5
3719;Gamay;6.6;0.25;0.51;8.0;26.722145370082607;897.53;309.9721453700826;283.25;0.047;61.0;189.0;0.99604;3.22;0.49;9.2;1
3720;Merlot;7.0;0.24;0.34;3.0;59.138643295026284;1381.02;225.68864329502628;166.55;0.035;36.0;102.0;0.9905;3.18;0.43;12.2;6
3721;Merlot;7.1;0.44;0.27;8.4;40.989459805753995;1171.14;278.379459805754;237.39;0.057;60.0;160.0;0.99257;3.16;0.36;11.8;99
3722;Pinot noir;7.9;0.51;0.34;2.6;70.44750526263742;1173.32;398.2075052626374;327.76;0.049;13.0;135.0;0.99335;3.09;0.51;10.0;5
3723;Chardonnay;7.4;0.29;0.25;3.8;48.95442422549085;1037.41;404.6844242254909;355.73;0.044;30.0;114.0;0.992;3.11;0.4;11.0;6
3724;Merlot;7.0;0.2;0.34;5.7;25.32436715550128;810.9;377.04436715550133;351.72;0.035;32.0;83.0;0.9928;3.19;0.46;11.5;6
3725;Chardonnay;6.3;0.34;0.29;6.2;65.64254755494602;694.02;400.19254755494603;334.55;0.046;29.0;227.0;0.9952;3.29;0.53;10.1;6
3726;Pinot noir;8.5;0.18;0.3;1.1;38.51672039283479;789.73;239.7567203928348;201.24;0.028;34.0;95.0;0.99272;2.83;0.36;10.0;4
3727;Cabernet Sauvignon;7.7;0.32;0.61;11.8;85.5416984135771;1383.49;261.2816984135771;175.74;0.041;66.0;188.0;0.99794;3.0;0.54;9.3;5
3728;Cabernet Sauvignon;6.5;0.3;0.28;11.45;98.88425661204796;650.75;355.97425661204795;257.09;0.041;29.0;109.0;0.99418;2.98;0.3;10.9;6
3729;Pinot noir;6.8;0.21;0.36;18.1;27.55321281664824;823.3;259.42321281664823;231.87;0.046;32.0;133.0;1.0;3.27;0.48;8.8;5
3730;Cabernet Sauvignon;7.2;0.18;0.45;4.4;23.292093712766558;622.93;241.98209371276656;218.69;0.046;57.0;166.0;0.9943;3.13;0.62;11.2;6
3731;Cabernet Sauvignon;6.7;0.16;0.32;12.5;36.20472636605412;676.6;211.48472636605413;175.28;0.035;18.0;156.0;0.99666;2.88;0.36;9.0;6
3732;Pinot noir;6.0;0.21;0.38;0.8;72.99378953338123;1186.31;297.47378953338125;224.48;0.02;22.0;98.0;0.98941;3.26;0.32;11.8;6
3733;Cabernet Sauvignon;6.0;0.31;0.38;4.8;47.48343412800368;1358.24;302.8434341280037;255.36;0.04;41.0;101.0;0.98968;3.24;0.56;13.1;6
3734;Cabernet Sauvignon;6.9;0.33;0.21;1.0;90.00918232046196;1118.07;383.7791823204619;293.77;0.053;39.0;148.0;0.9927;3.12;0.45;9.4;6
3735;Chardonnay;5.9;0.5;0.05;2.6;33.30466408948751;1258.01;264.6246640894875;231.32;0.054;36.0;146.0;0.9948;3.43;0.5;9.2;6
3736;Cabernet Sauvignon;6.5;0.15;0.44;12.6;51.150106479172955;1457.63;334.070106479173;282.92;0.052;65.0;158.0;0.99688;3.26;0.7;10.3;7
3737;Chardonnay;5.7;0.4;0.35;5.1;32.01339308061335;626.05;323.5533930806134;291.54;0.026;17.0;113.0;0.99052;3.18;0.67;12.4;6
3738;Chardonnay;5.4;0.29;0.47;3.0;67.67952764453057;1012.41;359.71952764453056;292.04;0.052;47.0;145.0;0.993;3.29;0.75;10.0;6
3739;Merlot;6.5;0.5;0.22;4.1;28.516162094132724;1202.8;237.37616209413272;208.86;0.036;35.0;131.0;0.9902;3.26;0.55;13.0;7
3740;Chardonnay;6.4;0.28;0.45;8.6;20.849614745085564;1311.28;277.58961474508556;256.74;0.057;47.0;223.0;0.99654;3.16;0.51;9.1;5
3741;Pinot noir;8.0;0.13;0.25;1.1;4.68842740214761;1129.89;153.11842740214763;148.43;0.033;15.0;86.0;0.99044;2.98;0.39;11.2;8
3742;Cabernet Sauvignon;7.3;0.19;0.27;13.9;9.589789372158942;493.01;234.97978937215893;225.39;0.057;45.0;155.0;0.99807;2.94;0.41;8.8;8
3743;Cabernet Sauvignon;7.2;0.26;0.24;7.0;15.576426298192402;1189.28;267.5464262981924;251.97;0.023;19.0;130.0;0.99176;3.14;0.49;12.8;7
3744;Chardonnay;6.6;0.29;0.31;3.9;20.15417605239549;578.56;232.4641760523955;212.31;0.027;39.0;96.0;0.99035;3.24;0.6;12.6;8
3745;Pinot noir;8.2;0.18;0.38;1.1;69.80522910451627;862.81;232.87522910451628;163.07;0.04;41.0;92.0;0.99062;2.88;0.6;12.0;6
3746;Pinot noir;7.7;0.43;0.28;4.5;63.89366346396469;914.01;314.8736634639647;250.98;0.046;33.0;102.0;0.9918;3.16;0.56;12.2;7
3747;Chardonnay;7.0;0.22;0.24;11.0;44.14743317655107;829.21;249.67743317655106;205.53;0.041;75.0;167.0;0.99508;2.98;0.56;10.5;6
3748;Cabernet Sauvignon;7.3;0.17;0.24;8.1;44.72053187921185;587.97;244.47053187921185;199.75;0.121;32.0;162.0;0.99508;3.17;0.38;10.4;8
3749;Chardonnay;7.0;0.2;0.3;6.1;11.880174830690171;622.74;222.9601748306902;211.08;0.037;31.0;120.0;0.9939;3.24;0.51;10.8;5
3750;Merlot;6.4;0.475;0.06;1.0;57.908829615403825;1181.65;265.3388296154038;207.43;0.03;9.0;131.0;0.9904;2.97;0.29;10.8;5
3751;Pinot noir;8.8;0.23;0.74;3.2;98.53915207832132;730.68;357.3691520783213;258.83;0.042;15.0;126.0;0.9934;3.02;0.51;11.2;6
3752;Gamay;7.0;0.14;0.4;1.7;0.915482786943822;886.83;129.6954827869438;128.78;0.035;16.0;85.0;0.9911;3.19;0.42;11.8;2
3753;Cabernet Sauvignon;6.9;0.26;0.38;10.5;94.28710690633633;1096.15;228.61710690633635;134.33;0.044;33.0;139.0;0.99517;3.06;0.5;10.3;6
3754;Cabernet Sauvignon;6.2;0.16;0.54;1.4;62.34373789809962;1194.51;270.5237378980996;208.18;0.126;37.0;110.0;0.9932;3.23;0.37;8.9;6
3755;Pinot noir;5.9;0.37;0.32;1.6;68.72615520178616;619.11;288.01615520178615;219.29;0.029;41.0;102.0;0.98916;3.41;0.55;12.7;7
3756;Merlot;6.7;0.23;0.25;1.6;64.62742036059895;434.99;307.89742036059897;243.27;0.036;28.0;143.0;0.99256;3.3;0.54;10.3;6
3757;Gamay;7.0;0.12;0.29;10.3;47.21495595725245;1482.12;182.59495595725244;135.38;0.039;41.0;98.0;0.99564;3.19;0.38;9.8;2
3758;Chardonnay;6.6;0.36;0.47;1.4;45.70355416713795;1118.1;469.173554167138;423.47;0.145;26.0;124.0;0.99274;3.09;0.56;10.1;6
3759;Merlot;8.6;0.37;0.7;12.15;15.664222203810452;514.33;119.30422220381045;103.64;0.039;21.0;158.0;0.9983;3.0;0.73;9.3;6
3760;Chardonnay;7.0;0.23;0.28;2.7;58.77012171830245;422.51;282.83012171830245;224.06;0.053;16.0;92.0;0.99372;3.18;0.56;9.3;5
3761;Pinot noir;6.3;0.2;0.19;12.3;24.965524468283284;1318.81;447.40552446828326;422.44;0.048;54.0;145.0;0.99668;3.16;0.42;9.3;6
3762;Chardonnay;7.2;0.14;0.35;1.2;35.90691799160197;878.44;353.24691799160195;317.34;0.036;15.0;73.0;0.9938;3.46;0.39;9.9;5
3763;Chardonnay;6.6;0.22;0.35;1.4;66.50421909746088;953.35;235.17421909746088;168.67;0.05;23.0;83.0;0.99019;3.17;0.48;12.0;7
3764;Cabernet Sauvignon;7.2;0.685;0.21;9.5;52.28968944823782;1079.85;300.7096894482378;248.42;0.07;33.0;172.0;0.9971;3.0;0.55;9.1;6
3765;Merlot;6.1;0.41;0.24;1.6;89.2380545189304;921.44;330.8980545189304;241.66;0.049;16.0;137.0;0.993;3.32;0.5;10.4;6
3766;Pinot noir;6.2;0.32;0.24;4.1;11.658472959120282;1189.26;364.16847295912027;352.51;0.051;34.0;149.0;0.99306;3.36;0.52;11.0;5
3767;Pinot noir;6.8;0.27;0.22;8.1;97.66594513612951;1023.78;323.8059451361295;226.14;0.034;55.0;203.0;0.9961;3.19;0.52;8.9;5
3768;Chardonnay;7.8;0.3;0.4;1.8;57.78769858957242;1361.05;274.3976985895724;216.61;0.028;23.0;122.0;0.9914;3.14;0.39;10.9;7
3769;Merlot;6.4;0.19;0.42;2.9;67.34044246274955;667.25;212.38044246274956;145.04;0.032;32.0;83.0;0.9908;3.3;0.41;11.7;6
3770;Merlot;7.0;0.29;0.33;0.9;3.7467317406293166;1282.93;224.07673174062933;220.33;0.041;20.0;117.0;0.99048;3.21;0.5;11.4;5
3771;Chardonnay;8.1;0.25;0.38;3.8;4.348659925192722;902.45;166.44865992519271;162.1;0.051;18.0;129.0;0.9928;3.21;0.38;11.5;6
3772;Pinot noir;6.0;0.28;0.27;4.1;7.63821180412545;586.88;202.49821180412548;194.86;0.046;50.0;147.0;0.99126;3.27;0.56;11.6;6
3773;Pinot noir;4.7;0.455;0.18;1.9;84.72081628562356;918.63;408.8708162856235;324.15;0.036;33.0;106.0;0.98746;3.21;0.83;14.0;7
3774;Pinot noir;7.0;0.22;0.3;1.4;9.009157986981231;1012.14;218.46915798698123;209.46;0.04;14.0;63.0;0.98985;3.2;0.33;12.0;6
3775;Merlot;7.1;0.32;0.24;13.1;86.53243070403198;929.4;271.612430704032;185.08;0.05;52.0;204.0;0.998;3.1;0.49;8.8;5
3776;Cabernet Sauvignon;6.7;0.31;0.18;7.7;40.90302817829973;1204.15;227.01302817829975;186.11;0.043;57.0;200.0;0.99566;3.17;0.44;9.4;6
3777;Chardonnay;6.6;0.23;0.18;8.5;78.66986680243907;1049.85;289.41986680243906;210.75;0.044;59.0;188.0;0.99558;3.16;0.49;9.5;5
3778;Pinot noir;6.1;0.3;0.56;2.7;96.39912935634894;1184.79;375.08912935634896;278.69;0.046;46.0;184.0;0.9924;3.31;0.57;10.9;99
3779;Chardonnay;7.2;0.615;0.1;1.4;50.38804627323346;911.85;263.54804627323347;213.16;0.068;25.0;154.0;0.99499;3.2;0.48;9.7;4
3780;Pinot noir;6.0;0.28;0.24;17.8;62.743309129017774;1232.57;295.69330912901773;232.95;0.047;42.0;111.0;0.99896;3.1;0.45;8.9;6
3781;Chardonnay;5.8;0.28;0.3;;;;;;;;;0.98952;3.32;0.6;12.5;7
3782;Cabernet Sauvignon;5.8;0.17;0.34;1.8;55.61509365896583;928.55;321.77509365896583;266.16;0.045;96.0;170.0;0.99035;3.38;0.9;11.8;8
3783;Chardonnay;6.6;0.2;0.27;10.9;35.15410589304017;535.06;272.9241058930402;237.77;0.038;29.0;130.0;0.99496;3.11;0.44;10.5;7
3784;Chardonnay;7.1;0.25;0.28;1.2;6.657791760386411;691.54;173.8477917603864;167.19;0.04;31.0;111.0;0.99174;3.18;0.53;11.1;5
3785;Chardonnay;7.8;0.27;0.34;1.6;75.80198176576236;642.95;391.4819817657624;315.68;0.046;27.0;154.0;0.9927;3.05;0.45;10.5;6
3786;Pinot noir;6.4;0.105;0.29;1.1;10.360031921131318;547.45;357.83003192113136;347.47;0.035;44.0;140.0;0.99142;3.17;0.55;10.7;7
3787;Merlot;7.3;0.25;0.41;1.8;81.35777861882917;1259.99;242.74777861882916;161.39;0.037;52.0;165.0;0.9911;3.29;0.39;12.2;7
3788;Chardonnay;6.4;0.44;0.44;14.4;76.16071407897903;1070.41;356.980714078979;280.82;0.048;29.0;228.0;0.99955;3.26;0.54;8.8;7
3789;Pinot noir;7.4;0.21;0.3;8.1;93.26155904307186;365.17;429.42155904307185;336.16;0.047;13.0;114.0;0.9941;3.12;0.35;10.5;6
3790;Chardonnay;6.6;0.12;0.25;1.4;82.5018219109282;1136.74;263.0918219109282;180.59;0.039;21.0;131.0;0.99114;3.2;0.45;11.2;7
3791;Chardonnay;7.3;0.18;0.65;1.4;73.44494486036561;1314.48;305.9149448603656;232.47;0.046;28.0;157.0;0.9946;3.33;0.62;9.4;6
3792;Merlot;5.3;0.275;0.24;7.4;44.30907577557528;578.59;123.35907577557528;79.05;0.038;28.0;114.0;0.99313;3.38;0.51;11.0;6
3793;Pinot noir;6.6;0.17;0.28;1.8;47.08205904728516;1003.73;215.45205904728516;168.37;0.042;62.0;178.0;0.99204;3.15;0.42;10.2;5
3794;Merlot;6.2;0.21;0.28;5.7;95.93230744864474;1165.4;391.18230744864474;295.25;0.028;45.0;121.0;0.99168;3.21;1.08;12.15;7
3795;Pinot noir;9.4;0.26;0.53;1.2;38.936981037038834;1056.08;375.5769810370388;336.64;0.047;25.0;109.0;0.9921;3.23;0.28;12.5;6
3796;Cabernet Sauvignon;7.1;0.39;0.3;9.9;2.827260719455349;603.91;314.0472607194554;311.22;0.037;29.0;124.0;0.99414;3.07;0.42;10.9;6
3797;Merlot;6.9;0.25;0.4;1.3;83.4326200424564;830.27;298.3026200424564;214.87;0.038;22.0;101.0;0.9901;3.03;0.39;11.4;6
3798;Cabernet Sauvignon;6.7;0.21;0.49;1.4;34.46194439312782;1228.7;240.1319443931278;205.67;0.047;30.0;114.0;0.9914;2.92;0.42;10.8;7
3799;Cabernet Sauvignon;7.2;0.23;0.38;14.3;69.20803937266204;665.81;270.85803937266206;201.65;0.058;55.0;194.0;0.9979;3.09;0.44;9.0;6
3800;Cabernet Sauvignon;6.3;0.2;0.26;12.7;69.6629986814684;876.32;250.5729986814684;180.91;0.046;60.0;143.0;0.99526;3.26;0.35;10.8;6
3801;Cabernet Sauvignon;6.3;0.35;0.3;5.7;85.5756599701256;805.88;461.95565997012557;376.38;0.035;8.0;97.0;0.9927;3.27;0.41;11.0;7
3802;Chardonnay;5.6;0.25;0.26;3.6;23.149127785730993;1274.98;178.509127785731;155.36;0.037;18.0;115.0;0.9904;3.42;0.5;12.6;6
3803;Chardonnay;7.3;0.155;0.49;1.3;23.174392221131292;754.27;194.4843922211313;171.31;0.039;34.0;136.0;0.9926;3.14;0.77;10.5;6
3804;Chardonnay;6.1;0.17;0.42;15.1;56.594972382340636;916.62;218.60497238234063;162.01;0.033;28.0;124.0;0.99684;2.87;0.47;9.5;5
3805;Merlot;6.0;0.26;0.26;2.2;70.54610821975709;880.81;244.52610821975708;173.98;0.035;10.0;72.0;0.989465;3.11;0.48;12.15;6
3806;Merlot;6.9;0.16;0.3;9.6;88.03716288420681;1048.74;384.9171628842068;296.88;0.057;50.0;185.0;0.9978;3.39;0.38;9.6;6
